Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activity (product.metafields.custom.activity),Age group (product.metafields.custom.age_group),Ankle Collar (product.metafields.custom.ankle_collar),Breathability Level (product.metafields.custom.breathability_level),Color (product.metafields.custom.color),Fabric (product.metafields.custom.fabric),Safety Features (product.metafields.custom.safety_features),Team (product.metafields.custom.sports_team),Stud Type (product.metafields.custom.stud_type),Target gender (product.metafields.custom.target_gender),Technology (product.metafields.custom.technology),Weight (product.metafields.custom.weight),Product rating count (product.metafields.reviews.rating_count),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Ball material (product.metafields.shopify.ball-material),Ball size (product.metafields.shopify.ball-size),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Neckline (product.metafields.shopify.neckline),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
netherlands-home-fifa-world-cup-jersey-2026,Netherlands Home FIFA World Cup Jersey 2026 Player Version,"<p>Get ready to support your favorite team with the <strong>Netherlands Home FIFA World Cup Jersey 2026</strong>. This premium jersey is designed for the true football fan, combining style and comfort with innovative features.</p>
<p>Crafted with high-quality materials, the <strong>Netherlands Home FIFA World Cup Jersey 2026</strong> ensures durability and breathability. The vibrant orange color represents the passion of Dutch football. With its sleek design and comfortable fit, this jersey is perfect for match day or casual wear.</p>
<p>Featuring the iconic Netherlands crest on the chest, this jersey proudly showcases your team spirit. The lightweight fabric wicks away moisture, keeping you cool during intense moments. The stylish accents add a modern touch, making it a standout piece in any fan’s wardrobe.</p>
<p>Whether you're cheering from the stands or watching at home, the <strong>Netherlands Home FIFA World Cup Jersey 2026</strong> is a must-have. Pair it with shorts or jeans for a complete look that represents your love for the game.</p>
<p>Available in various sizes, this jersey offers a great fit for every fan. Grab yours now at Dribble Store, where we provide premium designs at affordable prices. Experience free delivery across India and enjoy the excitement of the World Cup in style!</p>",Dribble Store,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,Jersey,"2026, 2027, accessories, activewear, activewear tops, apparel, authentic, clothing, cup, fifa, fifa_2026, home, jersey, nation, neatherlands, neon, new_season, nike, orange, oranje, partial_cod, player, premium, t-shirts, trending, unisex, version, world",false,Size,S,,,,,,,,N-NTHR-HM-26-PV-S,350.0,shopify,48,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-front.webp?v=1780187344,1,Netherlands Home FIFA World Cup Jersey 2026 in bright orange with black accents and crest,false,Netherlands Home FIFA World Cup 2026 Jersey - Player Version | Dribble Store,Get ready for game day with the Netherlands Home FIFA World Cup 2026 jersey at Dribble Store. Premium design and comfort for every fan. Shop now!,Football,,,,Orange,Polyester,,Netherlands,,Unisex,Sweat Wiking,,,soccer; football,,,,,,red,polyester,,,,,,,,,unisex,,,,,,,,g,6109,699.00,draft
netherlands-home-fifa-world-cup-jersey-2026,,,,,,,,,M,,,,,,,,N-NTHR-HM-26-PV-M,350.0,shopify,49,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-logo.webp?v=1780187344,2,Orange Netherlands Home FIFA World Cup Jersey 2026 featuring the team crest by Dribble Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
netherlands-home-fifa-world-cup-jersey-2026,,,,,,,,,L,,,,,,,,N-NTHR-HM-26-PV-L,350.0,shopify,44,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-back.webp?v=1780187344,3,Back view of the Netherlands Home FIFA World Cup Jersey 2026 in bright orange with black accents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
netherlands-home-fifa-world-cup-jersey-2026,,,,,,,,,XL,,,,,,,,N-NTHR-HM-26-PV-XL,350.0,shopify,47,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-neckline.webp?v=1780187344,4,Netherlands Home FIFA World Cup Jersey 2026 featuring vibrant orange color and unique collar design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
netherlands-home-fifa-world-cup-jersey-2026,,,,,,,,,2XL,,,,,,,,N-NTHR-HM-26-PV-2XL,350.0,shopify,47,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-side.webp?v=1780187344,5,Close-up of Netherlands Home FIFA World Cup Jersey 2026 featuring vibrant orange color and sleek design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
netherlands-home-fifa-world-cup-jersey-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/netherlands-home-fifa-world-cup-jersey-2026-orange-logo-detail.webp?v=1780187345,6,Close-up of the Netherlands Home FIFA World Cup Jersey 2026 featuring the KNVB crest in vibrant orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uruguay-home-fifa-world-cup-jersey-2026,Uruguay Home FIFA World Cup Jersey 2026 Player Version,"<p>Introducing the <strong>Uruguay Away FIFA World Cup Jersey 2026</strong>, a must-have for passionate football fans. This player version jersey combines style and functionality, making it perfect for both game day and casual wear.</p>
<p>Crafted with high-quality materials, the <strong>Uruguay Away FIFA World Cup Jersey 2026</strong> ensures optimal comfort. Its breathable fabric keeps you cool even during intense matches. The design features striking colors that reflect Uruguay's rich football heritage, allowing you to support your team in style.</p>
<p>The jersey is not just about looks; it’s engineered for performance. With a lightweight construction, it offers freedom of movement while you cheer for your favorite players. The unique graphics make the <strong>Uruguay Away FIFA World Cup Jersey 2026</strong> stand out in a crowd, ensuring all eyes are on you.</p>
<p>Whether you’re heading to the stadium, joining friends for a match, or simply expressing your love for football, this jersey is the perfect choice. It embodies the spirit of the Uruguayan team and their journey in the World Cup.</p>
<p>At Dribble Store, we focus on providing fans with top-notch football gear. The <strong>Uruguay Away FIFA World Cup Jersey 2026</strong> is priced affordably, ensuring you don't have to break the bank to support your team. Plus, enjoy the convenience of free delivery across India. </p>
<p>Elevate your game-day experience with the <strong>Uruguay Away FIFA World Cup Jersey 2026</strong>. Don't miss out on the chance to wear this iconic jersey. Order yours today from Dribble Store and show your true colors on and off the field!</p>",Dribble Store,Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,Jersey,"2026, 2027, accessories, activewear, activewear tops, apparel, authentic, blue, clothing, cup, fifa, fifa_2026, haaland, home, jersey, nation, new_season, nike, partial_cod, player, premium, sky blue, t-shirts, trending, unisex, uruguay, version, world",true,Size,S,,,,,,,,N-UGY-HM-26-PV-S,350.0,shopify,50,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-uruguay-home-fifa-world-cup-jersey-2026-front-view.webp?v=1780187346,1,Uruguay Home FIFA World Cup Jersey 2026 in light blue with white collar and team crest,false,Uruguay Home FIFA World Cup 2026 Jersey - Player Version | Dribble Store,Get ready for game day with the Uruguay Home FIFA World Cup 2026 jersey at Dribble Store. Premium design and comfort for every fan. Shop now!,Football,,,,Blue,Polyester,,Uruguay,,Unisex,Sweat Wiking,,,soccer; football,,,,,,black,polyester,,,,,,,,,unisex,,,,,,,,g,6109,699.00,active
uruguay-home-fifa-world-cup-jersey-2026,,,,,,,,,M,,,,,,,,N-UGY-HM-26-PV-M,350.0,shopify,49,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-uruguay-home-fifa-world-cup-jersey-2026-logo-close-up.jpg?v=1780187347,2,Uruguay Home FIFA World Cup Jersey 2026 featuring the national team emblem and blue color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
uruguay-home-fifa-world-cup-jersey-2026,,,,,,,,,L,,,,,,,,N-UGY-HM-26-PV-L,350.0,shopify,48,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-uruguay-home-fifa-world-cup-jersey-2026-back-view.webp?v=1780187346,3,Back view of Uruguay Home FIFA World Cup Jersey 2026 in light blue with short sleeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
uruguay-home-fifa-world-cup-jersey-2026,,,,,,,,,XL,,,,,,,,N-UGY-HM-26-PV-XL,350.0,shopify,46,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-uruguay-home-fifa-world-cup-jersey-2026-logo-detail.webp?v=1780187346,4,Dribble Store Uruguay Home FIFA World Cup Jersey 2026 in light blue with Nike logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
uruguay-home-fifa-world-cup-jersey-2026,,,,,,,,,2XL,,,,,,,,N-UGY-HM-26-PV-2XL,350.0,shopify,44,deny,manual,1399.00,3499.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-uruguay-home-fifa-world-cup-jersey-2026-crest-emblem.webp?v=1780187347,5,Uruguay Home FIFA World Cup Jersey 2026 featuring the official AUF logo and stylish design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6109,699.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats,"<p>Take your speed to the next level with the <strong>Nike Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats</strong>, engineered for players who thrive on explosive acceleration, quick direction changes, and elite-level performance. Featuring a sleek cream upper paired with bold black detailing, these football boots deliver a modern and professional look that stands out on the pitch. Designed for firm ground surfaces, they are built to help players maximize speed, control, and confidence during every match.</p>
<p>At the heart of these elite football cleats is the innovative Air Zoom technology, providing responsive cushioning and enhanced energy return with every stride. The lightweight Vaporposite upper offers a close-to-foot feel for precise ball control, while the advanced traction pattern delivers exceptional grip during rapid sprints, sharp turns, and attacking movements. The streamlined fit ensures comfort without sacrificing agility, making these boots ideal for fast-paced football.</p>
<p>Whether you're a winger, striker, midfielder, or a player who relies on pace and precision, the Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats are built to elevate your game. Available now at Striker Store, these premium football boots combine cutting-edge technology, lightweight performance, and iconic Mercurial speed for players who demand the very best on match day.<br></p>",The Dribble Store,Apparel & Accessories > Shoes > Athletic Shoes,Football Stud,"15, air zoom, black, boot, cleats, cream, dribbling boots, elite, fg, fg studs, football cleats, lace, lightweight, low top, low top football, men, mercurial, mercurial elite, mercurial_boot, new arrivals, nike, nike football boots, partial_cod, passing boots, soccer, soccer cleats, speed, striking boots, training boots, trending, vapor, vapor 15",true,Shoe size,5-5,product.metafields.shopify.shoe-size,,,,,,,MR-V15-E-CRB-FG-5.5,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats-side-view.webp?v=1780612655,1,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats football stud in cream with black accents,false,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats | Dribble Store,Shop Dribble Store for Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats. Experience premium performance on the pitch with cutting-edge design and fit!,Football,,Low,,"Cream, Black",,,,FG,Unisex,,Light Weight,,football; soccer,adults; teens,,,lace-up; slip-on,,striped; white; multicolor,,mesh; synthetic; leather; plastic,,,lightweight; slip-resistant; cushioned; breathable-design,,5-5; 6; 7; 7-5; 8-5; 9; 10,,,unisex; male,,,,,,,,g,,2999.00,active
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,6,,,,,,,,MR-V15-E-CRB-FG-6,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats-angle-front.webp?v=1780612655,2,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats football stud from The Dribble Store in cream and black color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,7,,,,,,,,MR-V15-E-CRB-FG-7,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats-top-view.webp?v=1780612655,3,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats football stud shown from top view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,7-5,,,,,,,,MR-V15-E-CRB-FG-7.5,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats-side-bottom.webp?v=1780612655,4,Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats football stud by The Dribble Store showing side and sole views,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,8-5,,,,,,,,MR-V15-E-CRB-FG-8.5,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0710/1831/5951/files/nike-mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats-back-view.webp?v=1780612655,5,Rear view of Mercurial Vapor 15 Elite Cream Black Air Zoom FG Cleats football stud with black accents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,9,,,,,,,,MR-V15-E-CRB-FG-9,500.0,shopify,0,deny,manual,4499.00,9999.00,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
mercurial-vapor-15-elite-cream-black-air-zoom-fg-cleats,,,,,,,,,10,,,,,,,,MR-V15-E-CRB-FG-10,500.0,shopify,1,deny,manual,4499.00,9999.00,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2999.00,
